Date/Time,Electricity:Facility,Fans:Electricity,Cooling:Electricity,Heating:Electricity,InteriorLights:Electricity,InteriorEquipment:Electricity,Gas:Facility,Heating:Gas,InteriorEquipment:Gas,Water Heater:WaterSystems:Gas
 10/01  02:00:00,863.418205321,96.2167197752,478.206802243,0.0,34.9616554283,113.312780494,316.318246337,301.960592725,5.66466996096,8.69298365057
 10/01  03:00:00,866.637258799,96.2167197752,479.725186415,0.0,34.9616554283,113.312780494,304.053483871,289.695892551,5.66466996096,8.69292135837
 10/01  04:00:00,886.78230848,96.2167197752,485.32861514,0.0,44.4937663224,113.312780494,277.419148064,254.388852,5.66466996096,17.3656261038
 10/01  05:00:00,891.740868541,96.2167197752,489.113055839,0.0,44.4937663224,113.312780494,249.637987479,226.783612368,14.1616749024,8.69270020852
 10/01  06:00:00,961.11245334,96.2167197752,489.300418094,0.0,54.0258772165,176.889270242,202.388543203,165.372569245,28.3233498048,8.69262415276
 10/01  07:00:00,956.710387582,96.2167197752,489.253558921,0.0,54.0258772165,184.38654557,215.976948673,156.126904171,42.4850247072,17.3650197947
 10/01  08:00:00,1036.1177962,96.2167197752,489.209314277,0.0,65.1572554096,220.04316451,202.315392936,136.946930072,56.6466996096,8.72176325524
 10/01  09:00:00,1028.68165212,96.2167197752,489.207359042,0.0,65.1572554096,212.545889182,186.234540098,117.530444707,42.4850247072,26.2190706835
 10/01  10:00:00,1036.1466847,96.2167197752,489.143689541,0.0,65.1572554096,220.04316451,189.281219882,100.92543558,70.808374512,17.5474097897
 10/01  11:00:00,1037.22959589,96.2167197752,489.247860838,0.0,65.1572554096,220.04316451,188.02065663,90.8975831847,70.808374512,26.3146989336
 10/01  12:00:00,1036.29412274,96.2167197752,489.297297744,0.0,65.1572554096,220.04316451,173.508171243,85.1503113305,70.808374512,17.5494854002
 10/01  13:00:00,1028.84838036,96.2167197752,489.234526554,0.0,65.1572554096,212.545889182,160.516924085,77.5566905632,56.6466996096,26.3135339123
 10/01  14:00:00,1028.86477852,96.2167197752,489.221265379,0.0,65.1572554096,212.545889182,132.255826494,72.2236638335,42.4850247072,17.5471379534
 10/01  15:00:00,1028.87085462,96.2167197752,489.249667085,0.0,65.1572554096,212.545889182,151.910749499,68.9471819417,56.6466996096,26.3168679478
 10/01  16:00:00,1003.55254581,96.2167197752,489.281135041,0.0,65.1572554096,220.04316451,179.67537033,68.3930106659,84.9700494144,26.3123102497
 10/01  17:00:00,956.859318562,96.2167197752,489.359709917,0.0,54.0258772165,184.38654557,182.330819015,79.8740881745,84.9700494144,17.4866814262
 10/01  18:00:00,934.151582088,96.2167197752,489.40201667,0.0,44.4937663224,163.454314868,199.824235588,106.161118452,84.9700494144,8.69306772249
 10/01  19:00:00,935.071280227,96.2167197752,489.231319462,0.0,44.4937663224,155.95703954,178.058528598,112.718863412,56.6466996096,8.69296557601
